Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\data/AAC-RAYUS-Admin_RTK-run_P-2014_Sep_05_1115.csv,Time:,2014_Sep_05_1115,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\T1000_AAC_ScheduleP.csv,Post-question file:,T1000_AAC_PostQuestions.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('FIXATION_ONSET', 3), ('DECISION_ONSET', 4), ('SELECTOR_MOVEMENT', 5), ('FINAL_LOCATION', 6), ('OUTCOME_SIDE', 7), ('NEGATIVE_OUTCOME_SHOWN', 8), ('POSITIVE_OUTCOME_SHOWN', 9), ('POINTS_AWARDED', 10), ('TOTAL_POINTS', 11), ('VAS_RATING', 12), ('POST_RATING', 13)], For ratings the trial number is negative and used to identify the question being rated.  VAS ratings are in the order pleasant-unpleasant-intense and are from 0 (not at all) to 100 (very much) 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,-0.00497975782491,NA,NA,NA
-1,NA,12,9.7653497248,7.97214135644,67,NA
-2,NA,12,9.7653497248,7.97214135644,36,NA
-3,NA,12,9.7653497248,7.97214135644,11,NA
NA,NA,2,80.140917254,80.1458970119,NA,NA
0,01043,3,80.1492781257,NA,NA,NA
0,01043,4,81.150495792,NA,NA,NA
0,01043,5,82.1970562054,1.04656041332,-1,2.0
0,01043,5,82.357242479,1.20674668695,-1,1.0
0,01043,5,82.5011092867,1.35061349464,-1,0.0
0,01043,5,82.653114017,1.50261822494,-1,-1.0
0,01043,5,82.7971088351,1.64661304303,-1,-2.0
0,01043,5,82.9420322269,1.7915364349,-1,-3.0
0,01043,5,83.0690852036,1.91858941154,-1,-4.0
0,01043,6,83.3092596967,2.15876390471,1,-4.0
0,01043,6,85.1459823583,NA,NA,-4.0
0,01043,7,85.157626453,NA,NA,-1
0,01043,9,85.157626453,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8496_WaterSlide.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/360_Rollercoaster.aiff
0,01043,10,91.1676976456,NA,NA,0.0
0,01043,11,91.1676976456,NA,NA,0.0
1,10002,3,93.1539281229,NA,NA,NA
1,10002,4,94.1556150655,NA,NA,NA
1,10002,5,94.5258261173,0.370211051777,-1,1.0
1,10002,5,94.6769401921,0.52132512664,-1,0.0
1,10002,5,94.9248962319,0.769281166373,1,1.0
1,10002,5,95.0769029579,0.921287892386,1,2.0
1,10002,5,95.228892863,1.07327779755,1,3.0
1,10002,5,95.3897950252,1.23417995975,1,4.0
1,10002,6,95.6208348826,1.46521981712,1,4.0
1,10002,6,98.1459954729,NA,NA,4.0
1,10002,7,98.162589206,-1,NA,1
1,10002,9,98.162589206,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8080_Sailing.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/SimplyTheBest/oceanwaves.aiff
1,10002,10,104.172542367,NA,NA,0.0
1,10002,11,104.172542367,NA,NA,0.0
2,1060-2,3,106.158740628,NA,NA,NA
2,1060-2,4,107.16038452,NA,NA,NA
2,1060-2,5,107.932947484,0.772562963888,1,-1.0
2,1060-2,5,108.133796287,0.973411766579,1,0.0
2,1060-2,5,108.340987446,1.18060292595,1,1.0
2,1060-2,5,108.556925789,1.3965412688,1,2.0
2,1060-2,5,108.772951373,1.61256685271,1,3.0
2,1060-2,5,109.044970221,1.88458570128,1,4.0
2,1060-2,6,111.145976656,NA,NA,4.0
2,1060-2,7,111.150598714,-1,NA,1
2,1060-2,9,111.150598714,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8120_Athlete.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/whistle.aiff
2,1060-2,10,117.162894264,NA,NA,0.0
2,1060-2,11,117.162894264,NA,NA,0.0
3,00201,3,119.163713644,NA,NA,NA
3,00201,4,120.165333588,NA,NA,NA
3,00201,5,121.101078952,0.935745363706,-1,0.0
3,00201,5,121.228814175,1.06348058709,-1,-1.0
3,00201,5,121.388842503,1.2235089147,-1,-2.0
3,00201,5,121.540833548,1.37549996027,-1,-3.0
3,00201,5,121.676819309,1.5114857211,-1,-4.0
3,00201,6,121.900798355,1.73546476732,1,-4.0
3,00201,6,124.145978367,NA,NA,-4.0
3,00201,7,124.156356613,NA,NA,-1
3,00201,9,124.156356613,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/5201_Nature.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/152_Tropical.aiff
3,00201,10,130.165908922,NA,NA,2.0
3,00201,11,130.165908922,NA,NA,2.0
