Original File Name:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\data/AAC-RTK-Admin_RA-run_P-2014_Aug_05_1001.csv,Time:,2014_Aug_05_1001,Parameter File:,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\T1000_AAC_ScheduleP.csv,Post-question file:,T1000_AAC_PostQuestions.csv,Event Codes:,[('INSTRUCT_ONSET', 1), ('TASK_ONSET', 2), ('FIXATION_ONSET', 3), ('DECISION_ONSET', 4), ('SELECTOR_MOVEMENT', 5), ('FINAL_LOCATION', 6), ('OUTCOME_SIDE', 7), ('NEGATIVE_OUTCOME_SHOWN', 8), ('POSITIVE_OUTCOME_SHOWN', 9), ('POINTS_AWARDED', 10), ('TOTAL_POINTS', 11), ('VAS_RATING', 12), ('POST_RATING', 13)], For ratings the trial number is negative and used to identify the question being rated.  VAS ratings are in the order pleasant-unpleasant-intense and are from 0 (not at all) to 100 (very much) 
trial_number,trial_type,event_code,absolute_time,response_time,response,result
NA,NA,1,1.90348431232,NA,NA,NA
-1,NA,12,12.5761682634,10.4882707683,77,NA
-2,NA,12,12.5761682634,10.4882707683,22,NA
-3,NA,12,12.5761682634,10.4882707683,34,NA
NA,NA,2,475.85744985,473.953965538,NA,NA
0,01043,3,475.874989896,NA,NA,NA
0,01043,4,476.87764059,NA,NA,NA
0,01043,5,478.116527929,1.23888733888,-1,2.0
0,01043,5,478.289638081,1.41199749082,-1,1.0
0,01043,5,478.500286907,1.62264631706,-1,0.0
0,01043,5,478.68921067,1.81157008007,-1,-1.0
0,01043,5,478.868134752,1.99049416206,-1,-2.0
0,01043,5,479.078930595,2.20129000468,-1,-3.0
0,01043,5,479.268773119,2.3911325285,-1,-4.0
0,01043,6,479.598807321,2.72116673089,1,-4.0
0,01043,6,480.862525765,NA,NA,-4.0
0,01043,7,480.882800462,NA,NA,-1
0,01043,9,480.882800462,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8496_WaterSlide.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/360_Rollercoaster.aiff
0,01043,10,486.916184549,NA,NA,0.0
0,01043,11,486.916184549,NA,NA,0.0
1,10002,3,488.880382208,NA,NA,NA
1,10002,4,489.891476263,NA,NA,NA
1,10002,5,490.890532205,0.999055942128,1,3.0
1,10002,5,491.049512652,1.15803638894,1,4.0
1,10002,6,491.177825332,1.28634906971,1,4.0
1,10002,6,493.862523566,NA,NA,4.0
1,10002,7,493.883036569,-1,NA,1
1,10002,9,493.883036569,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8080_Sailing.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/SimplyTheBest/oceanwaves.aiff
1,10002,10,499.905988724,NA,NA,0.0
1,10002,11,499.905988724,NA,NA,0.0
2,1060-2,3,501.876505155,NA,NA,NA
2,1060-2,4,502.876882778,NA,NA,NA
2,1060-2,5,503.804839613,0.927956835105,1,-1.0
2,1060-2,5,503.983749396,1.10686661873,1,0.0
2,1060-2,5,504.143790121,1.26690734336,1,1.0
2,1060-2,5,504.324733204,1.44785042603,1,2.0
2,1060-2,5,504.514757207,1.63787442892,1,3.0
2,1060-2,5,504.624134836,1.74725205831,1,4.0
2,1060-2,6,505.246588309,2.36970553093,1,4.0
2,1060-2,6,506.8625166,NA,NA,4.0
2,1060-2,7,506.882910083,-1,NA,1
2,1060-2,9,506.882910083,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/8120_Athlete.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/Freesound/whistle.aiff
2,1060-2,10,512.911110833,NA,NA,0.0
2,1060-2,11,512.911110833,NA,NA,0.0
3,00201,3,514.881037366,NA,NA,NA
3,00201,4,515.891660675,NA,NA,NA
3,00201,5,516.832728732,0.941068057597,-1,0.0
3,00201,5,516.982956388,1.09129571302,-1,-1.0
3,00201,5,517.150955062,1.25929438732,-1,-2.0
3,00201,5,517.331906944,1.44024626896,-1,-3.0
3,00201,5,517.520865903,1.62920522792,-1,-4.0
3,00201,6,517.662047101,1.77038642581,1,-4.0
3,00201,6,519.8625111,NA,NA,-4.0
3,00201,7,519.882812928,NA,NA,-1
3,00201,9,519.882812928,NA,NA,\\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/images/PI/5201_Nature.gif \\isilon1\homefolders\rkuplicki\Documents\StimTool\ApproachAvoidanceConflict\media/sounds/IADSPA/152_Tropical.aiff
3,00201,10,525.906510797,NA,NA,2.0
3,00201,11,525.906510797,NA,NA,2.0
